,Day,Count,Year,Month
0,1,18974,2001,1
1,2,16011,2001,1
2,3,15867,2001,1
3,4,16036,2001,1
4,5,15945,2001,1
5,6,16078,2001,1
6,7,16333,2001,1
7,8,16193,2001,1
8,9,16016,2001,1
9,10,16126,2001,1
10,11,15671,2001,1
11,12,16133,2001,1
12,13,15946,2001,1
13,14,15835,2001,1
14,15,16354,2001,1
15,16,15786,2001,1
16,17,15470,2001,1
17,18,15768,2001,1
18,19,15899,2001,1
19,20,16490,2001,1
20,21,16097,2001,1
21,22,15440,2001,1
22,23,15619,2001,1
23,24,15264,2001,1
24,25,14763,2001,1
25,26,15460,2001,1
26,27,15991,2001,1
27,28,15699,2001,1
28,29,14598,2001,1
29,30,14690,2001,1
30,31,9301,2001,1
0,1,19054,2002,1
1,2,15668,2002,1
2,3,14967,2002,1
3,4,15387,2002,1
4,5,15630,2002,1
5,6,15985,2002,1
6,7,15557,2002,1
7,8,15940,2002,1
8,9,16310,2002,1
9,10,16232,2002,1
10,11,16468,2002,1
11,12,16385,2002,1
12,13,16226,2002,1
13,14,15975,2002,1
14,15,17266,2002,1
15,16,15994,2002,1
16,17,15595,2002,1
17,18,16035,2002,1
18,19,15853,2002,1
19,20,16353,2002,1
20,21,15419,2002,1
21,22,15584,2002,1
22,23,15975,2002,1
23,24,15684,2002,1
24,25,15430,2002,1
25,26,15685,2002,1
26,27,15779,2002,1
27,28,15589,2002,1
28,29,14727,2002,1
29,30,14856,2002,1
30,31,9186,2002,1
0,1,18495,2003,1
1,2,15315,2003,1
2,3,15550,2003,1
3,4,15080,2003,1
4,5,15285,2003,1
5,6,15834,2003,1
6,7,15798,2003,1
7,8,15408,2003,1
8,9,15289,2003,1
9,10,16068,2003,1
10,11,15396,2003,1
11,12,15503,2003,1
12,13,15669,2003,1
13,14,15802,2003,1
14,15,16104,2003,1
15,16,16009,2003,1
16,17,15659,2003,1
17,18,15406,2003,1
18,19,15833,2003,1
19,20,15952,2003,1
20,21,15976,2003,1
21,22,15270,2003,1
22,23,15568,2003,1
23,24,15311,2003,1
24,25,15143,2003,1
25,26,14965,2003,1
26,27,15191,2003,1
27,28,15397,2003,1
28,29,14316,2003,1
29,30,14387,2003,1
30,31,8998,2003,1
0,1,17979,2004,8
1,2,15327,2004,8
2,3,15206,2004,8
3,4,14902,2004,8
4,5,15372,2004,8
5,6,15626,2004,8
6,7,15120,2004,8
7,8,15488,2004,8
8,9,15448,2004,8
9,10,15948,2004,8
10,11,15102,2004,8
11,12,15118,2004,8
12,13,14959,2004,8
13,14,15339,2004,8
14,15,15789,2004,8
15,16,15368,2004,8
16,17,15834,2004,8
17,18,15272,2004,8
18,19,15476,2004,8
19,20,15812,2004,8
20,21,15209,2004,8
21,22,14855,2004,8
22,23,15631,2004,8
23,24,15123,2004,8
24,25,14301,2004,8
25,26,14899,2004,8
26,27,15336,2004,8
27,28,15320,2004,8
28,29,15520,2004,8
29,30,13748,2004,8
30,31,8990,2004,8
0,1,17700,2005,6
1,2,14675,2005,6
2,3,14772,2005,6
3,4,14956,2005,6
4,5,15151,2005,6
5,6,14555,2005,6
6,7,14913,2005,6
7,8,14865,2005,6
8,9,14752,2005,6
9,10,15279,2005,6
10,11,15161,2005,6
11,12,14919,2005,6
12,13,14939,2005,6
13,14,15035,2005,6
14,15,15370,2005,6
15,16,14881,2005,6
16,17,14787,2005,6
17,18,14967,2005,6
18,19,14687,2005,6
19,20,14800,2005,6
20,21,14796,2005,6
21,22,14255,2005,6
22,23,14326,2005,6
23,24,13991,2005,6
24,25,14892,2005,6
25,26,14735,2005,6
26,27,14472,2005,6
27,28,14721,2005,6
28,29,13995,2005,6
29,30,13615,2005,6
30,31,8799,2005,6
0,1,17487,2006,12
1,2,14219,2006,12
2,3,14693,2006,12
3,4,14525,2006,12
4,5,14358,2006,12
5,6,14491,2006,12
6,7,14697,2006,12
7,8,14945,2006,12
8,9,14509,2006,12
9,10,14782,2006,12
10,11,14506,2006,12
11,12,14490,2006,12
12,13,14519,2006,12
13,14,14770,2006,12
14,15,15377,2006,12
15,16,14505,2006,12
16,17,14940,2006,12
17,18,14476,2006,12
18,19,14424,2006,12
19,20,14759,2006,12
20,21,14783,2006,12
21,22,14684,2006,12
22,23,14254,2006,12
23,24,14382,2006,12
24,25,14329,2006,12
25,26,14700,2006,12
26,27,14951,2006,12
27,28,14882,2006,12
28,29,13348,2006,12
29,30,13592,2006,12
30,31,8791,2006,12
0,1,17320,2007,7
1,2,14302,2007,7
2,3,14198,2007,7
3,4,13581,2007,7
4,5,13870,2007,7
5,6,13723,2007,7
6,7,14025,2007,7
7,8,14019,2007,7
8,9,14418,2007,7
9,10,14532,2007,7
10,11,13979,2007,7
11,12,14605,2007,7
12,13,14381,2007,7
13,14,14477,2007,7
14,15,14342,2007,7
15,16,14164,2007,7
16,17,14219,2007,7
17,18,14149,2007,7
18,19,14167,2007,7
19,20,14933,2007,7
20,21,14825,2007,7
21,22,14432,2007,7
22,23,14189,2007,7
23,24,14179,2007,7
24,25,13897,2007,7
25,26,13884,2007,7
26,27,14509,2007,7
27,28,14557,2007,7
28,29,13288,2007,7
29,30,13470,2007,7
30,31,8442,2007,7
0,1,16814,2008,9
1,2,13939,2008,9
2,3,13232,2008,9
3,4,13151,2008,9
4,5,14291,2008,9
5,6,14145,2008,9
6,7,14064,2008,9
7,8,14021,2008,9
8,9,13983,2008,9
9,10,14062,2008,9
10,11,14150,2008,9
11,12,14053,2008,9
12,13,13743,2008,9
13,14,14377,2008,9
14,15,14882,2008,9
15,16,13992,2008,9
16,17,14044,2008,9
17,18,13949,2008,9
18,19,13907,2008,9
19,20,13997,2008,9
20,21,13490,2008,9
21,22,13825,2008,9
22,23,13640,2008,9
23,24,13640,2008,9
24,25,13695,2008,9
25,26,14028,2008,9
26,27,13457,2008,9
27,28,13966,2008,9
28,29,13711,2008,9
29,30,12812,2008,9
30,31,8094,2008,9
0,1,15241,2009,1
1,2,12543,2009,1
2,3,12825,2009,1
3,4,12629,2009,1
4,5,12752,2009,1
5,6,12961,2009,1
6,7,12897,2009,1
7,8,12756,2009,1
8,9,13093,2009,1
9,10,12948,2009,1
10,11,12871,2009,1
11,12,13080,2009,1
12,13,12856,2009,1
13,14,13025,2009,1
14,15,12884,2009,1
15,16,12751,2009,1
16,17,13277,2009,1
17,18,13172,2009,1
18,19,12498,2009,1
19,20,13506,2009,1
20,21,12908,2009,1
